applicant_id,age,employment_type,income_monthly,existing_emi,cibil_score,credit_utilization_pct,recent_dpd_30,inquiries_6m,active_trades,vintage_months,employment_stability_m,secured_mix_ratio,foir_now,pd_12m,default_12m
APL300000,24,Salaried,45684.88,2380.75,743,90.2,0,2,2,58,6,0.247,5.2,0.6365,1
APL300001,36,Self-Employed,58135.98,13278.01,746,95.5,0,4,8,92,20,0.457,22.8,0.65,0
APL300002,21,Self-Employed,12000.0,2071.09,676,97.4,0,2,7,65,3,0.126,17.3,0.65,1
APL300003,23,Self-Employed,81514.1,0.0,799,66.1,0,0,2,90,0,0.244,0.0,0.3811,0
APL300004,31,Salaried,20213.68,4880.34,605,72.1,0,2,8,24,10,0.119,24.1,0.65,1
APL300005,34,Salaried,28465.98,0.0,729,76.6,0,5,7,40,3,0.396,0.0,0.65,1
APL300006,32,Self-Employed,34977.09,3915.99,767,88.4,0,2,6,65,23,0.384,11.2,0.5725,0
APL300007,41,Salaried,35975.63,0.0,714,84.1,0,2,4,65,35,0.397,0.0,0.6265,1
APL300008,38,Student/Intern,34911.68,0.0,787,94.9,0,2,6,80,9,0.73,0.0,0.5119,0
APL300009,32,Salaried,20949.97,7213.9,680,63.5,0,2,5,59,18,0.241,34.4,0.65,1
APL300010,31,Self-Employed,35526.99,4031.96,647,85.7,0,4,3,50,29,0.214,11.3,0.65,0
APL300011,32,Self-Employed,21391.24,185.74,733,99.7,0,4,8,76,19,0.079,0.9,0.65,1
APL300012,22,Salaried,44329.14,5226.08,664,111.2,0,1,6,42,7,0.283,11.8,0.65,1
APL300013,44,Salaried,23492.66,0.0,788,80.4,0,3,2,87,34,0.276,0.0,0.5324,0
APL300014,25,Self-Employed,23200.14,0.0,601,91.1,0,2,5,33,0,0.11,0.0,0.65,0
APL300015,35,Self-Employed,33894.33,6815.71,850,86.2,0,1,6,73,37,0.683,20.1,0.3858,0
APL300016,22,Gig/Freelance,28292.81,0.0,634,73.1,0,0,4,39,0,0.021,0.0,0.65,0
APL300017,34,Gig/Freelance,13624.56,6593.39,571,93.1,0,1,3,14,2,0.0,48.4,0.65,0
APL300018,36,Salaried,19461.03,2398.06,766,95.7,0,1,3,46,9,0.355,12.3,0.6173,1
APL300019,29,Salaried,28036.43,7250.61,714,91.0,0,2,2,39,32,0.443,25.9,0.65,1
APL300020,35,Salaried,36213.02,6744.12,778,84.8,0,3,6,102,4,0.498,18.6,0.5618,0
APL300021,31,Self-Employed,22418.96,4222.24,641,98.7,0,3,3,45,10,0.294,18.8,0.65,1
APL300022,34,Salaried,16289.08,964.58,651,65.0,0,0,6,56,15,0.204,5.9,0.65,1
APL300023,47,Self-Employed,29289.01,0.0,667,96.2,0,3,1,36,45,0.023,0.0,0.65,1
APL300024,35,Salaried,22618.62,7135.12,667,94.9,0,1,7,75,17,0.326,31.5,0.65,1
APL300025,23,Self-Employed,35871.54,2168.88,772,75.6,0,3,3,59,0,0.454,6.0,0.5646,0
APL300026,33,Salaried,60873.7,0.0,773,92.8,0,2,3,51,18,0.386,0.0,0.5421,1
APL300027,42,Salaried,35662.63,8968.33,749,85.3,0,1,4,81,13,0.251,25.1,0.616,0
APL300028,38,Salaried,25139.46,6561.88,693,84.8,0,3,6,41,38,0.371,26.1,0.65,0
APL300029,21,Salaried,37616.99,13097.03,607,127.3,0,3,4,17,0,0.024,34.8,0.65,0
APL300030,39,Self-Employed,24176.3,4810.86,623,87.6,0,1,7,63,37,0.177,19.9,0.65,0
APL300031,31,Salaried,13204.05,9303.82,709,75.3,0,2,5,77,26,0.222,70.5,0.65,0
APL300032,39,Salaried,21505.54,1878.73,601,73.2,0,2,8,30,23,0.151,8.7,0.65,0
APL300033,32,Salaried,15723.17,0.0,532,106.4,0,3,5,36,14,0.0,0.0,0.65,0
APL300034,40,Salaried,34051.71,0.0,642,92.7,0,3,2,76,12,0.157,0.0,0.65,1
APL300035,26,Student/Intern,16930.41,0.0,886,58.6,0,0,3,102,6,0.436,0.0,0.2758,0
APL300036,32,Salaried,12029.28,0.0,695,86.5,0,0,6,44,15,0.204,0.0,0.65,1
APL300037,44,Self-Employed,40268.48,14113.3,751,122.4,0,2,2,73,11,0.393,35.0,0.65,1
APL300038,40,Gig/Freelance,63119.04,0.0,722,97.0,0,1,4,97,20,0.141,0.0,0.6088,1
APL300039,31,Salaried,41417.35,12439.75,698,91.7,0,1,7,84,24,0.188,30.0,0.65,0
APL300040,46,Gig/Freelance,18232.13,0.0,624,76.1,0,1,3,22,16,0.143,0.0,0.65,0
